"data_all_max","max_people","max_experiments","max_coords"
61.1911190169826,"p8","e8","x"
1.56026975042722,"p9","e8","y"
56.1678026360057,"p10","e8","z"
59.8580763921811,"p1","e9","x"
0.775765575586222,"p2","e9","y"
62.6948338469088,"p3","e9","z"
59.2232890108495,"p4","e9","x"
1.60958168063246,"p5","e9","y"
58.3015611069709,"p6","e9","z"
59.9111494707567,"p7","e9","x"
2.09079407612859,"p8","e9","y"
54.9629320954056,"p9","e9","z"
59.8804449272772,"p10","e9","x"
3.86537534696727,"p1","e10","y"
58.7652864816624,"p2","e10","z"
58.5016299865572,"p3","e10","x"
3.31925863028573,"p4","e10","y"
56.1713474343291,"p5","e10","z"
59.1915483813455,"p6","e10","x"
3.9090357864334,"p7","e10","y"
55.5225291210127,"p8","e10","z"
59.5158715804513,"p9","e10","x"
3.78670193066389,"p10","e10","y"
57.5202044914756,"p1","e11","z"
59.3705339550163,"p2","e11","x"
3.09458225718257,"p3","e11","y"
55.8660784318512,"p4","e11","z"
59.8434020205884,"p5","e11","x"
1.83031876112229,"p6","e11","y"
59.3176519319809,"p7","e11","z"
59.7609299674069,"p8","e11","x"
0.423407155600728,"p9","e11","y"
60.3442489303515,"p10","e11","z"
58.9928662748061,"p1","e12","x"
0.703480002960237,"p2","e12","y"
56.6103540147843,"p3","e12","z"
58.9129007842603,"p4","e12","x"
-0.0299810367991887,"p5","e12","y"
54.0447692669082,"p6","e12","z"
59.769407725199,"p7","e12","x"
-0.0867554433377408,"p8","e12","y"
54.7509753966466,"p9","e12","z"
59.7408294686908,"p10","e12","x"
0.276899432371952,"p1","e13","y"
53.9288775814949,"p2","e13","z"
59.2997536887672,"p3","e13","x"
0.85155203416219,"p4","e13","y"
54.1157197486184,"p5","e13","z"
60.0647955656264,"p6","e13","x"
